일본어,읽기,뜻,연도,페이지,분류,섹션,검수상태,관계그룹,원본표현,출처파일
余暇,よか,여가,2025,,,,,,,1.csv
検閲,けんえつ,검열,2025,,,,,,,1.csv
裁く,さばく,"중재하다, 재판하다",2025,,,,,,,1.csv
頑丈,がんじょう,"튼튼함, 견고함",2025,,,,,,,1.csv
行政,ぎょうせい,행정,2025,,,,,,,1.csv
芳しくない,かんばしくない,바람직하지 않다,2025,,,,,,,1.csv
鈍い,にぶい,둔하다,2025,,,,,,,1.csv
崇高,すうこう,숭고함,2025,,,,,,,1.csv
胸中,きょうちゅう,"흉중, 가슴 속, 심정",2025,,,,,,,1.csv
潜む,ひそむ,"숨어 있다, 잠재하다",2025,,,,,,,1.csv
卓越,たくえつ,"탁월, 뛰어남",2025,,,,,,,1.csv
管轄,かんかつ,관할,2025,,,,,,,1.csv
腐敗,ふはい,부패,2024,,,,,,,1.csv
粘膜,ねんまく,점막,2024,,,,,,,1.csv
戒める,いましめる,"경고하다, 징계하다",2024,,,,,,,1.csv
絶叫,ぜっきょう,절규,2024,,,,,,,1.csv
抱負,ほうふ,포부,2024,,,,,,,1.csv
筋道（を立てる）,すじみち（をたてる）,조리(있게 하다),2024,,,,,,,1.csv
粗い,あらい,"거칠다, 조잡하다",2024,,,,,,,1.csv
寿命,じゅみょう,수명,2024,,,,,,,1.csv
誓約書,せいやくしょ,서약서,2024,,,,,,,1.csv
背後,はいご,"등 뒤, 배후",2024,,,,,,,1.csv
侮る,あなどる,"깔보다, 업신여기다",2024,,,,,,,1.csv
奔放な（性格）,ほんぽうな（せいかく）,자유 분방한(성격),2024,,,,,,,1.csv
騒然とする,そうぜんとする,"소란스럽다, 술렁이다",2023,,,,,,,1.csv
秩序,ちつじょ,질서,2023,,,,,,,1.csv
朗らかな,ほがらかな,명랑한,2023,,,,,,,1.csv
軌跡,きせき,궤적,2023,,,,,,,1.csv
矛盾,むじゅん,모순,2023,,,,,,,1.csv
賄う,まかなう,"마련하다, (식사를) 제공하다",2023,,,,,,,1.csv
諭す,さとす,타이르다,2023,,,,,,,1.csv
潜伏,せんぷく,잠복,2023,,,,,,,1.csv
振興,しんこう,진흥,2023,,,,,,,1.csv
偏り,かたより,"편견, 치우침",2023,,,,,,,1.csv
誇張,こちょう,과장,2023,,,,,,,1.csv
軽率な,けいそつな,경솔한,2023,,,,,,,1.csv
勇敢に,ゆうかんに,용감하게,2022,,,,,,,1.csv
慕う,したう,"사모하다, 깊이 존경하다",2022,,,,,,,1.csv
沈下,ちんか,"침하, 물속에 가라앉음",2022,,,,,,,1.csv
監督,かんとく,감독,2022,,,,,,,1.csv
透ける,すける,"비쳐 보이다, 들여다 보이다",2022,,,,,,,1.csv
臨む,のぞむ,"임하다, 마주하다",2022,,,,,,,1.csv
忠告,ちゅうこく,충고,2022,,,,,,,1.csv
施錠,せじょう,자물쇠를 채움,2022,,,,,,,1.csv
阻まれる,はばまれる,가로막히다,2022,,,,,,,1.csv
派生,はせい,파생,2022,,,,,,,1.csv
恩恵,おんけい,은혜,2022,,,,,,,1.csv
如実に,にょじつに,"여실히, 있는 그대로",2022,,,,,,,1.csv
ミミへ,,,,9,,,Y,,,~66.csv
根底から庫す,,,,9,,,Y,,,~66.csv
休日を,,,,9,,,Y,,,~66.csv
返上する,,,,9,,,Y,,,~66.csv
当者に,,,,9,,,Y,,,~66.csv
匠り次ぐ,,,,9,,,Y,,,~66.csv
事ゆ難航している,,,,9,,,Y,,,~66.csv
誠待とネネ次,,,,9,,,Y,,,~66.csv
交希する,,,,9,,,Y,,,~66.csv
中手まとい,,,,9,,,Y,,,~66.csv
ガ入衝,,,,9,,,Y,,,~66.csv
妃境に,,,,9,,,Y,,,~66.csv
適応,,,,9,,,Y,,,~66.csv
ロ人絆を掲げる,,,,9,,,Y,,,~66.csv
避衝如対呈,,,,9,,,Y,,,~66.csv
中細,,,,9,,,Y,,,~66.csv
札で足止めされる,,,,9,,,Y,,,~66.csv
ロ本共の払拭,,,,9,,,Y,,,~66.csv
疲れひひへとへとになる,,,,9,,,Y,,,~66.csv
前市長の政策を,,,,9,,,Y,,,~66.csv
応襲する,,,,9,,,Y,,,~66.csv
符号,,,,9,,,Y,,,~66.csv
量合,,,,9,,,Y,,,~66.csv
る社呈時,,,,9,,,Y,,,~66.csv
ロロとっさに,,,,9,,,Y,,,~66.csv
家人の腕をつかむ,,,,9,,,Y,,,~66.csv
誠志,,,,9,,,Y,,,~66.csv
吾品る,,,,9,,,Y,,,~66.csv
ニニーーーューニ,,,,9,,,Y,,,~66.csv
品中,,,,9,,,Y,,,~66.csv
家を出て,,,,10,,,Y,,,~66.csv
自立,,,,10,,,Y,,,~66.csv
利益を,,,,10,,,Y,,,~66.csv
選元,,,,10,,,Y,,,~66.csv
時る,,,,10,,,Y,,,~66.csv
ネック,,,,10,,,Y,,,~66.csv
如叶る,,,,10,,,Y,,,~66.csv
次陥が,,,,10,,,Y,,,~66.csv
ストレスの発散,,,,10,,,Y,,,~66.csv
優勝という,,,,10,,,Y,,,~66.csv
快挙,,,,10,,,Y,,,~66.csv
議論が,,,,10,,,Y,,,~66.csv
よく似ていて,,,,10,,,Y,,,~66.csv
忠実に,,,,10,,,Y,,,~66.csv
は陸,,,,10,,,Y,,,~66.csv
心夫に,,,,10,,,Y,,,~66.csv
所除が行き届いている,,,,10,,,Y,,,~66.csv
幸えフト和,,,,10,,,Y,,,~66.csv
志久,,,,10,,,Y,,,~66.csv
一周入,,,,10,,,Y,,,~66.csv
念願,,,,10,,,Y,,,~66.csv
混乱を,,,,10,,,Y,,,~66.csv
助長する,,,,10,,,Y,,,~66.csv
ロ見返り,,,,10,,,Y,,,~66.csv
を求める,,,,10,,,Y,,,~66.csv
ト呈生き,,,,10,,,Y,,,~66.csv
上位に,,,,10,,,Y,,,~66.csv
代表チームが結成される,,,,10,,,Y,,,~66.csv
側の,,,,10,,,Y,,,~66.csv
手配,,,,10,,,Y,,,~66.csv
ロつくづく,,,,10,,,Y,,,~66.csv
均じる,,,,10,,,Y,,,~66.csv
名張がほぐれる,,,,10,,,Y,,,~66.csv
中外,,,,10,,,Y,,,~66.csv
居民,,,,10,,,Y,,,~66.csv
財供な,,,,11,,,Y,,,~66.csv
りズムに信,,,,11,,,Y,,,~66.csv
パムに合わせ,,,,11,,,Y,,,~66.csv
る天才叶,,,,11,,,Y,,,~66.csv
サイクル,,,,11,,,Y,,,~66.csv
を繰り返す,,,,11,,,Y,,,~66.csv
秒三者が仲武,,,,11,,,Y,,,~66.csv
志子のしわざ,,,,11,,,Y,,,~66.csv
人際め発覚,,,,11,,,Y,,,~66.csv
ロ病ががすべすべ,,,,11,,,Y,,,~66.csv
議論がかみ合わない,,,,11,,,Y,,,~66.csv
プライバシーを保護,,,,11,,,Y,,,~66.csv
ロ叫実に,,,,11,,,Y,,,~66.csv
再現した,,,,11,,,Y,,,~66.csv
水を爾手ですくう,,,,11,,,Y,,,~66.csv
念願,,,,11,,,Y,,,~66.csv
のマイホーム,,,,11,,,Y,,,~66.csv
るロ,,,,11,,,Y,,,~66.csv
カメラの,,,,11,,,Y,,,~66.csv
ピント,,,,11,,,Y,,,~66.csv
上位に,,,,11,,,Y,,,~66.csv
食い込,,,,11,,,Y,,,~66.csv
ロてっきり,,,,11,,,Y,,,~66.csv
地発の人かと時ったら,,,,11,,,Y,,,~66.csv
呈相,,,,11,,,Y,,,~66.csv
筐員が,,,,12,,,Y,,,~66.csv
全社を存続させる,,,,12,,,Y,,,~66.csv
秦成派,,,,12,,,Y,,,~66.csv
ロ人ををる風半,,,,12,,,Y,,,~66.csv
衝みる名知する,,,,12,,,Y,,,~66.csv
価もできめもどかしい,,,,12,,,Y,,,~66.csv
上江する,,,,12,,,Y,,,~66.csv
の了抹を基下した員,,,,12,,,Y,,,~66.csv
放夏,,,,12,,,Y,,,~66.csv
論されている,,,,12,,,Y,,,~66.csv
祭波,,,,12,,,Y,,,~66.csv
が間界中に,,,,12,,,Y,,,~66.csv
ロロの紳を,,,,12,,,Y,,,~66.csv
夫星,,,,12,,,Y,,,~66.csv
会吉,,,,17,,,Y,,,~66.csv
剖む,,,,17,,,Y,,,~66.csv
実情,,,,17,,,Y,,,~66.csv
に入れるの,,,,17,,,Y,,,~66.csv
合ったシステム,,,,17,,,Y,,,~66.csv
條の人の,,,,17,,,Y,,,~66.csv
混材,,,,17,,,Y,,,~66.csv
不備がある,,,,17,,,Y,,,~66.csv
総商の,,,,17,,,Y,,,~66.csv
復ロ,,,,17,,,Y,,,~66.csv
証拠礎十分で訴えは,,,,17,,,Y,,,~66.csv
彼の強み,,,,17,,,Y,,,~66.csv
脱却,,,,17,,,Y,,,~66.csv
ロ包,,,,17,,,Y,,,~66.csv
度対,,,,17,,,Y,,,~66.csv
会心の,,,,17,,,Y,,,~66.csv
出来,,,,17,,,Y,,,~66.csv
彼は次の大統領選には,,,,17,,,Y,,,~66.csv
六判衣な,,,,17,,,Y,,,~66.csv
ニュアンス,,,,17,,,Y,,,~66.csv
